question_text,option_a,option_b,option_c,option_d,correct_option,explanation,marks
"What does CrPC stand for?","Code of Criminal Procedure","Civil Rights Protection Code","Court Record Procedure Code","Criminal Rights Protection Code",A,"CrPC stands for Code of Criminal Procedure 1898, the primary legislation regulating procedural criminal law in Bangladesh.",1
"Under which section of CrPC is the First Information Report (FIR) registered?","Section 154","Section 155","Section 156","Section 157",A,"Section 154 of the CrPC deals with the registration of information relating to cognizable offences (FIR).",1
"What is the limitation period for taking cognizance of an offence punishable with fine only under Section 468 CrPC?","6 months","1 year","3 years","No limit",A,"Section 468(2)(a) CrPC: 6 months for offences punishable with fine only.",1
"A Magistrate who tries a case without jurisdiction is called?","De facto judge","De jure judge","Coram non judice","None of these",C,"'Coram non judice' means before one who is not a judge; it describes proceedings before a court without jurisdiction.",1
"Under Section 320 CrPC, which offences are compoundable without the permission of the court?","Offences listed in the first part of Section 320 table","All offences","Only non-cognizable offences","No offences",A,"Section 320 CrPC provides a two-part table: the first part lists offences compoundable without court permission.",1
"What is the minimum number of witnesses required for conviction under the Evidence Act?","No fixed number","2 witnesses","3 witnesses","5 witnesses",A,"Under the Bangladesh Evidence Act, there is no fixed minimum number of witnesses for conviction; quality of evidence matters over quantity.",1
"Under Section 302 of the Penal Code, the punishment for murder is?","Death or life imprisonment","Life imprisonment only","Death only","Imprisonment up to 20 years",A,"Section 302 of the Bangladesh Penal Code provides that whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.",1
"Which section of the Penal Code defines 'culpable homicide'?","Section 299","Section 300","Section 301","Section 302",A,"Section 299 of the Penal Code defines culpable homicide. Section 300 defines murder as a special case.",1
"Under the Evidence Act, 'Hearsay evidence' is generally?","Inadmissible","Admissible","Admissible with court permission","Admissible only in civil cases",A,"Hearsay evidence — a statement made by someone not before the court — is generally inadmissible because it cannot be tested under cross-examination.",1
"What is the period of limitation for filing a complaint under Section 468(2)(c) CrPC for offences punishable with imprisonment up to 3 years?","3 years","1 year","6 months","No limitation",A,"Section 468(2)(c) CrPC prescribes a 3-year limitation period for offences punishable with imprisonment for a term not exceeding three years.",1
